,SVM,KNN,DT,RF,GBDT,XGB
Morgan,0.975055232,0.620903577,0.70766481,0.932254663,0.846275297,0.926905265
MACCS,0.960589907,0.679413136,0.982546844,0.928610629,0.871497392,0.974983777
CDK,0.859067285,0.822783284,0.899476505,0.934128843,0.844987087,0.974566987
Ext,0.858508201,0.817386788,0.993539413,0.93850596,0.868706357,0.993407195
Graph,0.803169238,0.804748832,0.959211933,0.909449756,0.840738813,0.908768674
Estate,0.770276544,0.624956076,0.892813434,0.83838079,0.736780456,0.892823011
Pub,0.969955814,0.717128154,0.753606812,0.938273197,0.883597534,0.97214551
Sub,0.866897512,0.734972664,0.867374392,0.866219521,0.755885341,0.831960827
SubC,0.880327559,0.629802216,0.982699262,0.935332061,0.833043271,0.951785784
KR,0.97335764,0.77783034,0.964184598,0.924870337,0.783977484,0.790098968
KRC,0.974935071,0.623938391,0.67583498,0.928395612,0.747185026,0.968233504
AP2D,0.620180408,0.623729252,0.819663911,0.801549133,0.717321684,0.800974152
AP2DC,0.682012374,0.707262406,0.751620488,0.89446572,0.848600835,0.879635041
